inputRows,idleTime,backTime,exeTime,exeAdded,exeRemoved,numTasks0,median0,max0,numTasks1,median1,max1,numTasks2,median2,max2,numTasks3,median3,max3,numTasks4,median4,max4,numTasks5,median5,max5,numTasks6,median6,max6,numTasks7,median7,max7,numTasks8,median8,max8,numTasks9,median9,max9,numTasks10,median10,max10,numTasks11,median11,max11,numTasks12,median12,max12
10000000,10,8,75,5,0,1,2,2,15,9,14,15,8,13,15,0.09,0.2,15,0.5,1,15,0.2,0.3,15,0.9,2,15,0.2,0.3,30,2,3,30,0.7,1,30,0.6,0.9,15,0.5,1,1,1,1
10000000,8,12,72,4,1,1,2,2,15,6,10,15,7,9,15,0.058,0.086,15,0.4,0.5,15,0.1,0.2,15,0.7,0.9,15,0.1,0.2,30,1,2,30,0.5,0.6,30,0.5,0.6,15,0.4,0.6,1,1,1
10000000,6,8,82,5,1,1,2,2,15,8,15,15,12,13,15,0.1,0.2,15,0.7,1,15,0.3,0.4,15,1,1,15,0.3,0.4,30,2,3,30,0.8,0.9,30,0.9,1,15,0.7,0.9,1,1,1
10000000,4,6,102,10,5,1,2,2,15,12,16,15,8,19,15,0.096,0.7,15,0.5,1,15,0.5,0.6,15,0.9,3,15,0.4,0.9,30,2,4,30,0.5,1,30,0.5,1,15,0.5,1,1,1,1
10000000,8,4,88,9,4,1,2,2,15,10,21,15,13,17,15,0.1,0.2,15,0.8,1,15,0.3,0.4,15,1,1,15,0.3,0.9,30,3,3,30,0.8,0.9,30,0.9,1,15,0.7,0.8,1,1,1
10000000,7,7,169,14,12,1,2,2,15,9,15,15,12,13,15,0.1,0.2,15,0.7,1,15,0.3,0.4,15,1,1,15,0.3,0.3,30,2,3,30,1,1,30,0.8,1,15,0.7,0.7,1,1,1
10000000,12,12,178,10,7,1,2,2,15,10,19,15,18,19,15,0.2,0.3,15,1,2,15,0.4,0.6,15,2,2,15,0.3,0.6,30,3,5,30,1,2,30,1,2,15,1,1,1,2,2
10000000,9,10,171,11,8,1,2,2,15,11,21,15,18,20,15,0.2,0.3,15,1,2,15,0.4,0.5,15,2,2,15,0.5,0.6,30,3,6,30,1,2,30,1,1,15,1,2,1,1,1
10000000,15,15,178,10,8,1,2,2,15,8,15,15,12,12,15,0.2,0.2,15,0.6,1,15,0.3,0.4,15,1,1,15,0.3,0.3,30,2,3,30,0.8,1,30,0.9,1,15,0.7,0.8,1,2,2
10000000,11,9,149,9,6,1,2,2,15,13,22,15,18,19,15,0.2,0.3,15,0.8,2,15,0.4,0.6,15,2,2,15,0.4,0.6,30,3,5,30,1,1,30,1,2,15,1,2,1,1,1
15000000,13,11,124,6,0,1,2,2,22,8,21,22,19,21,22,0.2,0.4,22,1,2,22,0.3,0.5,22,2,3,22,0.3,0.6,44,3,5,44,1,1,44,1,2,22,1,1,1,2,2
15000000,11,13,123,6,2,1,2,2,22,9,16,22,13,16,22,0.1,0.2,22,0.6,2,22,0.3,0.5,22,1,2,22,0.3,0.4,44,2,3,44,0.9,1,44,1,2,22,0.7,1,1,2,2
15000000,5,11,115,7,2,1,2,2,22,10,17,22,11,17,22,0.092,0.3,22,0.7,2,22,0.3,0.5,22,1,2,22,0.3,0.4,44,2,3,44,0.9,1,44,0.9,1,22,0.7,1,1,1,1
15000000,17,12,103,5,0,1,2,2,22,8,15,22,12,16,22,0.1,0.3,22,0.6,1,22,0.3,0.4,22,1,2,22,0.3,0.4,44,2,3,44,0.8,0.9,44,1,1,22,0.7,0.9,1,1,1
15000000,14,20,116,4,0,1,2,2,22,6,15,22,12,14,22,0.2,0.3,22,0.6,1,22,0.3,0.4,22,1,1,22,0.3,0.3,44,2,3,44,0.8,1,44,0.8,1,22,0.7,0.9,1,1,1
15000000,7,15,120,5,3,1,2,2,22,7,19,22,16,25,22,0.2,0.5,22,1,2,22,0.4,0.6,22,1,2,22,0.4,0.6,44,3,4,44,1,2,44,1,2,22,1,2,1,3,3
15000000,9,9,104,6,0,1,2,2,22,8,17,22,13,19,22,0.2,0.3,22,0.8,2,22,0.3,0.6,22,1,2,22,0.3,0.4,44,2,4,44,0.9,1,44,0.8,2,22,0.8,1,1,1,1
15000000,15,25,100,3,0,1,2,2,22,6,10,22,8,8,22,0.078,0.2,22,0.4,0.6,22,0.2,0.3,22,0.7,0.8,22,0.2,0.2,44,1,2,44,0.5,0.8,44,0.5,0.7,22,0.4,0.5,1,1,1
15000000,8,14,119,5,0,1,2,2,22,8,18,22,16,25,22,0.2,0.5,22,1,2,22,0.4,0.7,22,2,2,22,0.4,0.5,44,3,4,44,1,2,44,1,3,22,1,2,1,2,2
15000000,6,12,127,9,5,1,2,2,22,8,18,22,9,16,22,0.073,0.2,22,0.4,0.9,22,0.2,0.5,22,0.6,2,22,0.2,0.3,44,1,3,44,0.5,0.9,44,0.5,0.9,22,0.4,0.9,1,2,2
5000000,5,5,87,5,2,1,2,2,8,8,13,8,18,21,8,0.2,0.2,8,1,1,8,0.5,0.6,8,2,2,8,0.3,0.4,16,4,5,16,1,1,16,1,1,8,1,1,1,2,2
5000000,3,4,62,6,2,1,2,2,8,10,14,8,12,13,8,0.1,0.1,8,0.9,1,8,0.2,0.4,8,1,1,8,0.3,0.4,16,3,3,16,1,1,16,1,1,8,0.7,0.8,1,3,3
5000000,6,3,65,6,3,1,2,2,8,10,13,8,12,12,8,0.2,0.2,8,0.9,1,8,0.4,0.5,8,1,1,8,0.3,0.3,16,3,3,16,0.8,0.9,16,1,1,8,0.7,0.7,1,1,1
5000000,5,4,69,6,2,1,2,2,8,11,12,8,13,15,8,0.1,0.2,8,0.9,0.9,8,0.3,0.5,8,1,2,8,0.3,0.3,16,3,3,16,0.9,1,16,0.9,1,8,0.8,0.8,1,1,1
5000000,7,5,67,5,2,1,2,2,8,10,12,8,12,13,8,0.1,0.2,8,0.8,0.9,8,0.3,0.4,8,1,1,8,0.2,0.3,16,3,3,16,0.8,1,16,0.9,1,8,0.7,0.9,1,1,1
5000000,5,10,59,3,1,1,2,2,8,8,9,8,8,8,8,0.082,0.096,8,0.5,0.5,8,0.2,0.3,8,0.8,0.8,8,0.2,0.2,16,2,2,16,0.5,0.6,16,0.5,0.6,8,0.4,0.6,1,1,1
5000000,6,8,56,3,0,1,2,2,8,8,10,8,12,13,8,0.1,0.2,8,0.9,0.9,8,0.4,0.5,8,1,1,8,0.3,0.3,16,3,3,16,0.9,1,16,0.9,1,8,0.8,0.9,1,2,2
5000000,3,3,61,7,4,1,2,2,8,7,10,8,11,11,8,0.1,0.1,8,1,1,8,0.2,0.3,8,1,2,8,0.2,0.3,16,3,3,16,1,1,16,0.9,1,8,0.7,0.8,1,1,1
5000000,7,7,58,4,2,1,2,2,8,8,10,8,8,9,8,0.1,0.1,8,0.5,0.7,8,0.1,0.3,8,0.7,0.7,8,0.2,0.2,16,1,2,16,0.5,0.6,16,0.5,0.5,8,0.4,0.4,1,1,1
5000000,9,6,56,4,1,1,2,2,8,8,12,8,14,14,8,0.1,0.1,8,1,1,8,0.3,0.3,8,1,1,8,0.3,0.3,16,2,3,16,0.8,0.8,16,1,1,8,0.7,0.8,1,1,1
20000000,5,11,148,10,4,1,2,2,30,10,20,30,10,23,30,0.095,0.3,30,0.6,2,30,0.2,0.7,30,0.8,2,30,0.2,0.5,60,1,4,60,0.7,1,60,0.5,2,30,0.7,1,1,3,3
20000000,16,15,153,6,0,1,2,2,30,8,19,30,15,19,30,0.1,0.4,30,1,2,30,0.4,0.6,30,2,2,30,0.4,1,60,4,6,60,1,2,60,1,2,30,1,1,1,2,2
20000000,8,20,152,6,1,1,2,2,30,6,16,30,16,23,30,0.2,0.9,30,0.8,1,30,0.4,0.6,30,1,2,30,0.4,0.6,60,3,4,60,1,2,60,1,2,30,1,1,1,2,2
20000000,9,27,114,4,1,1,2,2,30,6,10,30,7,8,30,0.056,0.2,30,0.3,0.6,30,0.2,0.2,30,0.6,2,30,0.1,0.3,60,1,2,60,0.4,0.6,60,0.5,0.6,30,0.4,0.4,1,2,2
20000000,12,29,119,4,1,1,2,2,30,6,10,30,7,8,30,0.067,0.1,30,0.4,1,30,0.1,0.2,30,0.6,0.8,30,0.1,0.2,60,1,2,60,0.5,0.7,60,0.5,0.6,30,0.4,0.5,1,2,2
20000000,5,12,129,7,2,1,2,2,30,8,15,30,12,13,30,0.087,0.3,30,0.6,2,30,0.3,0.4,30,1,1,30,0.2,0.4,60,2,3,60,0.8,1,60,0.8,1,30,0.7,0.9,1,2,2
20000000,4,13,117,6,1,1,2,2,30,8,15,30,12,15,30,0.086,0.2,30,0.7,1,30,0.3,0.4,30,1,1,30,0.2,0.5,60,2,3,60,0.8,1,60,0.8,1,30,0.7,1,1,3,3
20000000,6,14,115,5,0,1,2,2,30,8,15,30,12,15,30,0.093,0.2,30,0.6,2,30,0.2,0.4,30,1,1,30,0.2,0.4,60,2,3,60,0.7,1,60,0.8,1,30,0.6,1,1,1,1
20000000,5,13,159,8,2,1,2,2,30,6,13,30,15,24,30,0.1,0.3,30,0.8,1,30,0.4,0.7,30,1,2,30,0.4,0.6,60,3,4,60,0.9,2,60,1,1,30,0.7,1,1,2,2
20000000,21,15,116,5,0,1,2,2,30,7,15,30,12,15,30,0.097,0.3,30,0.5,1,30,0.2,0.3,30,0.9,1,30,0.2,0.3,60,2,3,60,0.8,1,60,0.7,1,30,0.7,1,1,1,1